GEO,pop,rep,rep_share,pop_rep,banzhaf,pop_share,rep1,rep_share1,advantage1,pop_rep1,share1_diff,rep1_cum,rep2,rep_share2,advantage2,pop_rep2,share2_diff,rep2_cum,96,rep3,rep_share3,advantage3,pop_rep3,share3_diff,rep3_cum,rep4,rep_share4,advantage4,pop_rep4,share4_diff,rep4_cum,rep5,pop_rep5,rep_share5,advantage5,share5_diff,rep5_cum,rep6,rep_share6,advantage6,pop_rep6,share6_diff,rep6_cum,rep7,pop_rep7,rep_share7,advantage7,share7_diff,rep7_cum,rep8,pop_rep8,poorest,rep_share8,advantage8,share8_diff,rep8_cum,rep9,rep_share9,advantage9,pop_rep9,share9_diff,rep9_cum,200,rep10,rep_share10,advantage10,pop_rep10,share10_diff,rep10_cum,banzhaf1,shapley1,banzhaf2,shapley2,banzhaf3,shapley3,banzhaf4,shapley4,banzhaf5,shapley5,banzhaf6,shapley6,banzhaf7,shapley7,banzhaf8,shapley8,banzhaf9,shapley9,banzhaf10,shapley10,gini1,gini2,gini3,gini4,gini5,gini6,gini7,gini8,gini9,gini10,diffs_rep1,diffs_rep_share1,diffs_pop_rep1,diffs_banzhaf1,diffs_rep2,diffs_rep_share2,diffs_pop_rep2,diffs_banzhaf2,diffs_rep3,diffs_rep_share3,diffs_pop_rep3,diffs_banzhaf3,diffs_rep4,diffs_rep_share4,diffs_pop_rep4,diffs_banzhaf4,diffs_rep5,diffs_rep_share5,diffs_pop_rep5,diffs_banzhaf5,diffs_rep6,diffs_rep_share6,diffs_pop_rep6,diffs_banzhaf6,diffs_rep7,diffs_rep_share7,diffs_pop_rep7,diffs_banzhaf7,diffs_rep8,diffs_rep_share8,diffs_pop_rep8,diffs_banzhaf8,diffs_rep9,diffs_rep_share9,diffs_pop_rep9,diffs_banzhaf9,diffs_rep10,diffs_rep_share10,diffs_pop_rep10,diffs_banzhaf10,mal1,mal2,mal3,mal4,mal5,mal6,mal7,mal8,mal9,mal10
Malta,434403.0,6,0.00798934753662,72400.5,0.00774912141044,0.000976812493421,6,0.00884955752212,9.059627699,72400.5,0.0078727450287,0.0,6,0.00798934753662,8.17899810908,72400.5,0.0070125350432,0.0,96,6.0,0.00798934753662,8.17899810908,72400.5,0.0070125350432,0.0,6.07130731202,0.00808429735289,8.27620183744,71550.1584214,0.00710748485947,0.0,6.0,72400.5,0.00798934753662,8.17899810908,0.0070125350432,0.0,6.0,0.00815217391304,8.34568964663,72400.5,0.00717536141962,0.0,8.0,54300.375,0.0106524633822,10.9053308121,0.00967565088874,0.0,1.0,434403.0,-168353.097991,0.00133155792277,1.36316635151,0.000354745429349,2.0,6,0.00798934753662,8.17899810908,72400.5,0.0070125350432,0.0,200,3.0,0.00399467376831,4.08949905454,144801.0,0.00301786127489,0.0,0.00853904565506,0.0083104327683,0.00765272515644,0.00745068263375,0.00767158755339,0.0074556761446,0.00784875968816,0.00762059849286,0.00772329652516,0.00750829927166,0.00781870275478,0.00759749288118,0.010325980566,0.0100840054239,0.00125329007579,0.00119395648,0.00764805572009,0.00740205410619,0.00378797276626,0.00365224879964,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.000860209985506,0.0,0.000789924244617,0,0.0,0.0,-9.63962540015e-05,0.0,0.0,0.0,-7.75338570518e-05,0.0713073120197,9.49498162713e-05,-850.341578603,9.9638277714e-05,0.0,0.0,0.0,-2.58248852854e-05,0.0,0.000162826376426,0.0,6.95813443369e-05,2.0,0.00266311584554,-18100.125,0.00257685915552,-5.0,-0.00665778961385,362002.5,-0.00649583133465,0,0.0,0.0,-0.000101065690349,-3.0,-0.00399467376831,72400.5,-0.00396114864419,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Luxembourg,576249.0,6,0.00798934753662,96041.5,0.00774912141044,0.00129577195029,6,0.00884955752212,6.82956404493,96041.5,0.00755378557183,6.0,6,0.00798934753662,6.16570495668,96041.5,0.00669357558633,6.0,96,6.0,0.00798934753662,6.16570495668,96041.5,0.00669357558633,6.0,6.09459135237,0.00811530140129,6.26290868504,94550.8840024,0.006819529451,6.07130731202,7.0,82321.2857143,0.00932090545939,7.19332244945,0.0080251335091,6.0,6.0,0.00815217391304,6.29136470443,96041.5,0.00685640196275,6.0,8.0,72031.125,0.0106524633822,8.22093994223,0.00935669143187,8.0,1.0,576249.0,-26507.0979907,0.00133155792277,1.02761749278,3.57859724806e-05,13.0,6,0.00798934753662,6.16570495668,96041.5,0.00669357558633,6.0,200,3.0,0.00399467376831,3.08285247834,192083.0,0.00269890181802,3.0,0.00853904565506,0.0083104327683,0.00765272515644,0.00745068263375,0.00767158755339,0.0074556761446,0.00784875968816,0.00762059849286,0.0090178595574,0.0087799471135,0.00781870275478,0.00759749288118,0.010325980566,0.0100840054239,0.00125329007579,0.00119395648,0.00764805572009,0.00740205410619,0.00378797276626,0.00365224879964,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.000860209985506,0.0,0.000789924244617,0,0.0,0.0,-9.63962540015e-05,0.0,0.0,0.0,-7.75338570518e-05,0.0945913523711,0.000125953864675,-1490.61599761,9.9638277714e-05,1.0,0.00133155792277,-13720.2142857,0.00126873814695,0.0,0.000162826376426,0.0,6.95813443369e-05,2.0,0.00266311584554,-24010.375,0.00257685915552,-5.0,-0.00665778961385,480207.5,-0.00649583133465,0,0.0,0.0,-0.000101065690349,-3.0,-0.00399467376831,96041.5,-0.00396114864419,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Cyprus,848319.0,6,0.00798934753662,141386.5,0.00774912141044,0.00190755726274,6,0.00884955752212,4.63920936738,141386.5,0.00694200025938,12.0,6,0.00798934753662,4.18826092022,141386.5,0.00608179027388,12.0,96,7.0,0.00932090545939,4.88630440692,121188.428571,0.00741334819665,12.0,6.13925168018,0.00817476921462,4.28546464858,138179.54438,0.00626721195188,12.1658986644,7.0,121188.428571,0.00932090545939,4.88630440692,0.00741334819665,13.0,7.0,0.00951086956522,4.98588941522,121188.428571,0.00760331230248,12.0,8.0,106039.875,0.0106524633822,5.58434789363,0.00874490611942,16.0,2.0,424159.5,245562.902009,0.00266311584554,1.39608697341,0.000755558582798,0.0,6,0.00798934753662,4.18826092022,141386.5,0.00608179027388,12.0,200,4.0,0.00532623169108,2.79217394681,212079.75,0.00341867442834,6.0,0.00853904565506,0.0083104327683,0.00765272515644,0.00745068263375,0.0089509590881,0.00871010021771,0.00784875968816,0.00762059849286,0.0090178595574,0.0087799471135,0.00912567740899,0.0088802006163,0.010325980566,0.0100840054239,0.00250516161388,0.00239690363529,0.00764805572009,0.00740205410619,0.00504988608404,0.00487160690822,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.000860209985506,0.0,0.000789924244617,0,0.0,0.0,-9.63962540015e-05,1.0,0.00133155792277,-20198.0714286,0.00120183767766,0.13925168018,0.000185421678003,-3206.95562023,9.9638277714e-05,1.0,0.00133155792277,-20198.0714286,0.00126873814695,1.0,0.0015215220286,-20198.0714286,0.00137655599855,2.0,0.00266311584554,-35346.625,0.00257685915552,-4.0,-0.00532623169108,282773.0,-0.00524395979656,0,0.0,0.0,-0.000101065690349,-2.0,-0.00266311584554,70693.25,-0.0026992353264,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Estonia,1315944.0,6,0.00798934753662,219324.0,0.00774912141044,0.00295907380898,6,0.00884955752212,2.99065116094,219324.0,0.00589048371314,18.0,6,0.00798934753662,2.69994871786,219324.0,0.00503027372764,18.0,96,7.0,0.00932090545939,3.14994017084,187992.0,0.00636183165041,19.0,6.21601238806,0.00827698054335,2.79715244622,211702.280795,0.00531790673437,18.3051503446,7.0,187992.0,0.00932090545939,3.14994017084,0.00636183165041,20.0,7.0,0.00951086956522,3.21413732106,187992.0,0.00655179575624,19.0,8.0,164493.0,0.0106524633822,3.59993162382,0.00769338957318,24.0,2.0,657972.0,55215.9020093,0.00266311584554,0.899982905954,0.000295957963441,746.0,6,0.00798934753662,2.69994871786,219324.0,0.00503027372764,18.0,200,5.0,0.00665778961385,2.24995726489,263188.8,0.00369871580487,10.0,0.00853904565506,0.0083104327683,0.00765272515644,0.00745068263375,0.0089509590881,0.00871010021771,0.00784875968816,0.00762059849286,0.0090178595574,0.0087799471135,0.00912567740899,0.0088802006163,0.010325980566,0.0100840054239,0.00250516161388,0.00239690363529,0.00764805572009,0.00740205410619,0.00631352218132,0.00609772289002,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.000860209985506,0.0,0.000789924244617,0,0.0,0.0,-9.63962540015e-05,1.0,0.00133155792277,-31332.0,0.00120183767766,0.216012388056,0.000287633006732,-7621.71920522,9.9638277714e-05,1.0,0.00133155792277,-31332.0,0.00126873814695,1.0,0.0015215220286,-31332.0,0.00137655599855,2.0,0.00266311584554,-54831.0,0.00257685915552,-4.0,-0.00532623169108,438648.0,-0.00524395979656,0,0.0,0.0,-0.000101065690349,-1.0,-0.00133155792277,43864.8,-0.00143559922912,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Latvia,1968957.0,8,0.0106524633822,246119.625,0.0103317149703,0.00442745974731,8,0.0117994100295,2.66505190401,246119.625,0.00737195028219,24.0,8,0.0106524633822,2.40599892266,246119.625,0.00622500363485,24.0,96,8.0,0.0106524633822,2.40599892266,246119.625,0.00622500363485,26.0,8.32320456155,0.0110828289768,2.50320265103,236562.370351,0.00665536922946,24.5211627326,9.0,218773.0,0.0119840213049,2.706748788,0.00755656155762,27.0,8.0,0.0108695652174,2.45503422679,246119.625,0.00644210547009,26.0,10.0,196895.7,0.0133155792277,3.00749865333,0.00888811948039,43.0,3.0,656319.0,53562.9020093,0.00399467376831,0.902249595999,0.000432785978997,743.0,8,0.0106524633822,2.40599892266,246119.625,0.00622500363485,24.0,200,6.0,0.00798934753662,1.804499192,328159.5,0.00356188778931,15.0,0.0113898531489,0.0111110846523,0.0102046980131,0.00995387999426,0.0102307208504,0.00996366978868,0.0104704908176,0.0101845242621,0.0116005426926,0.0113170432116,0.0104332918316,0.0101671536313,0.0129153068056,0.0126430870596,0.00375691293691,0.00359802673708,0.0101993890114,0.0098974995381,0.0075753901628,0.00731749741711,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00114694664734,0.0,0.00105813817855,0,0.0,0.0,-0.000127016957226,0.0,0.0,0.0,-0.000100994119872,0.323204561553,0.000430365594612,-9557.25464868,0.000138775847286,1.0,0.00133155792277,-27346.625,0.00126882772228,0.0,0.000217101835234,0.0,0.00010157686131,2.0,0.00266311584554,-49223.925,0.00258359183526,-5.0,-0.00665778961385,410199.375,-0.0065748020334,0,0.0,0.0,-0.0001323259589,-2.0,-0.00266311584554,82039.875,-0.00275632480751,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Slovenia,2064188.0,8,0.0106524633822,258023.5,0.0103317149703,0.00464159922277,8,0.0117994100295,2.54210013902,258023.5,0.00715781080673,32.0,8,0.0106524633822,2.29499852764,258023.5,0.00601086415939,32.0,96,8.0,0.0106524633822,2.29499852764,258023.5,0.00601086415939,34.0,8.33883674326,0.0111036441322,2.392202256,247539.082914,0.0064620449094,32.8443672942,9.0,229354.222222,0.0119840213049,2.5818733436,0.00734242208215,36.0,8.0,0.0108695652174,2.34177159546,258023.5,0.00622796599462,34.0,11.0,187653.454545,0.0146471371505,3.15562297551,0.0100055379277,32.0,3.0,688062.666667,85306.568676,0.00399467376831,0.860624447865,0.000646925454463,748.0,8,0.0106524633822,2.29499852764,258023.5,0.00601086415939,32.0,200,6.0,0.00798934753662,1.72124889573,344031.333333,0.00334774831385,21.0,0.0113898531489,0.0111110846523,0.0102046980131,0.00995387999426,0.0102307208504,0.00996366978868,0.0104704908176,0.0101845242621,0.0116005426926,0.0113170432116,0.0104332918316,0.0101671536313,0.0142032400754,0.0139200721406,0.00375691293691,0.00359802673708,0.0101993890114,0.0098974995381,0.0075753901628,0.00731749741711,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00114694664734,0.0,0.00105813817855,0,0.0,0.0,-0.000127016957226,0.0,0.0,0.0,-0.000100994119872,0.338836743262,0.000451180750016,-10484.4170856,0.000138775847286,1.0,0.00133155792277,-28669.2777778,0.00126882772228,0.0,0.000217101835234,0.0,0.00010157686131,3.0,0.00399467376831,-70370.0454545,0.00387152510512,-5.0,-0.00665778961385,430039.166667,-0.0065748020334,0,0.0,0.0,-0.0001323259589,-2.0,-0.00266311584554,86007.8333333,-0.00275632480751,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Lithuania,2888558.0,11,0.0146471371505,262596.181818,0.0142191519775,0.00649530399737,11,0.0162241887906,2.49783363444,262596.181818,0.00972888479319,40.0,11,0.0146471371505,2.25503489234,262596.181818,0.00815183315309,40.0,96,10.0,0.0133155792277,2.05003172031,288855.8,0.00682027523032,42.0,11.4741571918,0.0152785049159,2.35223862071,251744.67734,0.00878320091848,41.1832040374,12.0,240713.166667,0.0159786950732,2.46003806438,0.00948339107586,45.0,9.0,0.0122282608696,1.88263103228,320950.888889,0.00573295687219,42.0,14.0,206325.571429,0.0186418109188,2.87004440844,0.0121465069214,53.0,5.0,577711.6,-25044.4979907,0.00665778961385,1.02501586016,0.000162485616474,14.0,11,0.0146471371505,2.25503489234,262596.181818,0.00815183315309,40.0,200,7.0,0.00932090545939,1.43502220422,412651.142857,0.00282560146201,27.0,0.0156652629673,0.0153287641176,0.0140325225111,0.0137261678162,0.0127915177495,0.012479626783,0.0143868425288,0.014052187835,0.0154708995832,0.0151441100889,0.0117484906057,0.0114725287948,0.0180947499245,0.017787092633,0.0062775822934,0.00601655345497,0.0140296011393,0.013651631543,0.00883882224673,0.00854815126992,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00157705164009,0.0,0.00144611098981,0,0.0,0.0,-0.000186629466342,-1.0,-0.00133155792277,26259.6181818,-0.001427634228,0.474157191808,0.000631367765391,-10851.5044782,0.000167690551346,1.0,0.00133155792277,-21883.0151515,0.00125174760576,-2.0,-0.0024188762809,58354.7070707,-0.00247066137176,3.0,0.00399467376831,-56270.6103896,0.00387559794705,-6.0,-0.00798934753662,315115.418182,-0.00794156968407,0,0.0,0.0,-0.0001895508382,-4.0,-0.00532623169108,150054.961039,-0.00538032973074,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Croatia,4190669.0,11,0.0146471371505,380969.909091,0.0142191519775,0.00942327247968,11,0.0162241887906,1.7217149165,380969.909091,0.00680091631088,51.0,11,0.0146471371505,1.55435780744,380969.909091,0.00522386467078,51.0,96,11.0,0.0146471371505,1.55435780744,380969.909091,0.00522386467078,52.0,11.687898891,0.0155631143689,1.65156153581,358547.677309,0.00613984188918,52.6573612293,12.0,349222.416667,0.0159786950732,1.69566306267,0.00655542259355,57.0,11.0,0.0149456521739,1.58603629537,380969.909091,0.00552237969423,51.0,14.0,299333.5,0.0186418109188,1.97827357311,0.00921853843909,67.0,7.0,598667.0,-4089.09799065,0.00932090545939,0.989136786555,0.000102367020297,650.0,11,0.0146471371505,1.55435780744,380969.909091,0.00522386467078,51.0,200,9.0,0.0119840213049,1.271747297,465629.888889,0.00256074882524,34.0,0.0156652629673,0.0153287641176,0.0140325225111,0.0137261678162,0.0140706633629,0.0137461684554,0.0143868425288,0.014052187835,0.0154708995832,0.0151441100889,0.0143317310299,0.0140131048712,0.0180947499245,0.017787092633,0.00877714188553,0.00842433815916,0.0140296011393,0.013651631543,0.011364553007,0.011021418793,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00157705164009,0.0,0.00144611098981,0,0.0,0.0,-0.000186629466342,0.0,0.0,0.0,-0.00014848861454,0.687898891017,0.000915977218398,-22422.2317816,0.000167690551346,1.0,0.00133155792277,-31747.4924242,0.00125174760576,0.0,0.000298515023447,0.0,0.00011257905241,3.0,0.00399467376831,-81636.4090909,0.00387559794705,-4.0,-0.00532623169108,217697.090909,-0.00544201009194,0,0.0,0.0,-0.0001895508382,-2.0,-0.00266311584554,84659.979798,-0.00285459897046,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Ireland,4658530.0,11,0.0146471371505,423502.727273,0.0142191519775,0.0104753197031,11,0.0162241887906,1.54880130158,423502.727273,0.00574886908748,105.0,11,0.0146471371505,1.39825204057,423502.727273,0.00417181744739,105.0,96,12.0,0.0159786950732,1.52536586244,388210.833333,0.00550337537016,63.0,11.7646983383,0.0156653772814,1.49545576893,395975.303916,0.00519005757831,110.311017115,12.0,388210.833333,0.0159786950732,1.52536586244,0.00550337537016,133.0,12.0,0.0163043478261,1.55645348192,388210.833333,0.00582902812301,62.0,14.0,332752.142857,0.0186418109188,1.77959350618,0.0081664912157,81.0,8.0,582316.25,-20439.8479907,0.0106524633822,1.01691057496,0.000177143679078,68.0,11,0.0146471371505,1.39825204057,423502.727273,0.00417181744739,105.0,200,10.0,0.0133155792277,1.2711382187,465853.0,0.00284025952462,43.0,0.0156652629673,0.0153287641176,0.0140325225111,0.0137261678162,0.0153505278167,0.0150144721743,0.0143868425288,0.014052187835,0.0154708995832,0.0151441100889,0.0156454954844,0.0153126076672,0.0180947499245,0.017787092633,0.0100300472731,0.00963250324604,0.0140296011393,0.013651631543,0.0126269650241,0.0122547302834,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00157705164009,0.0,0.00144611098981,0,0.0,0.0,-0.000186629466342,1.0,0.00133155792277,-35291.8939394,0.00113137583928,0.764698338325,0.00101824013093,-27527.4233566,0.000167690551346,1.0,0.00133155792277,-35291.8939394,0.00125174760576,1.0,0.00165721067562,-35291.8939394,0.00142634350697,3.0,0.00399467376831,-90750.5844156,0.00387559794705,-3.0,-0.00399467376831,158813.522727,-0.00418910470434,0,0.0,0.0,-0.0001895508382,-1.0,-0.00133155792277,42350.2727273,-0.00159218695335,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
Slovakia,5426252.0,13,0.017310252996,417404.0,0.0168082041116,0.0122016439713,13,0.0191740412979,1.57143097628,417404.0,0.00697239732667,62.0,13,0.017310252996,1.41868202652,417404.0,0.00510860902474,62.0,96,13.0,0.017310252996,1.41868202652,417404.0,0.00510860902474,89.0,13.8907200099,0.0184962982822,1.51588575488,390638.641923,0.00629465431089,64.3452601203,15.0,361750.133333,0.0199733688415,1.63694079983,0.00777172487028,69.0,13.0,0.0176630434783,1.44759538304,417404.0,0.00546139950699,74.0,16.0,339140.75,0.0213049267643,1.74607018648,0.00910328279305,95.0,9.0,602916.888889,160.790898234,0.0119840213049,0.982164479897,0.000217622666342,708.0,13,0.017310252996,1.41868202652,417404.0,0.00510860902474,62.0,200,11.0,0.0146471371505,1.20042325321,493295.636364,0.0024454931792,53.0,0.0185231942148,0.0181707786338,0.0165826912965,0.0162698472713,0.0166318710279,0.0162874761778,0.0170132762875,0.0166449860345,0.0193527256643,0.0189966705346,0.0169541521105,0.0166096510615,0.020692076685,0.0203809949691,0.0112829526607,0.0108472851588,0.0165852458097,0.016169157316,0.0138910998207,0.0134993230995,0.18310219911,0.1478151389,0.150980991703,0.165303982685,0.197280115288,0.146279023916,0.225538011037,0.00788384297701,0.131552534531,0.0577110072026,0,0.00186378830193,0.0,0.00171499010314,0,0.0,0.0,-0.000225512815119,0.0,0.0,0.0,-0.00017633308375,0.890720009903,0.00118604528616,-26765.3580771,0.00020507217592,2.0,0.00266311584554,-55653.8666667,0.00254452155262,0.0,0.000352790482256,0.0,0.000145947998843,3.0,0.00399467376831,-78263.25,0.00388387257342,-4.0,-0.00532623169108,185512.888889,-0.0055252514509,0,0.0,0.0,-0.000222958301925,-2.0,-0.00266311584554,75891.6363636,-0.0029171042909,0.147586926926,0.105657707699,0.10826472526,0.133240927371,0.15620081048,0.10515474147,0.181500411012,0.00496827423911,0.105657707699,0.0457376011744
