"","H","methods","t"
"1",600,"Gini",0.00146812459025142
"2",601,"Gini",0.00238487063519716
"3",602,"Gini",0.00311945879515635
"4",603,"Gini",0.00224155758512629
"5",604,"Gini",0.00149924194380197
"6",605,"Gini",-0.0000966106327237592
"7",606,"Gini",0.0000481107944137471
"8",607,"Gini",-0.000120325351772921
"9",608,"Gini",0.000910533513722334
"10",609,"Gini",-0.000673870591972159
"11",610,"Gini",-0.00157968536279035
"12",611,"Gini",-0.00226310843066896
"13",612,"Gini",-0.00093205028532245
"14",613,"Gini",-0.000176451420640433
"15",614,"Gini",-0.00174618287900136
"16",615,"Gini",-0.00268673671290426
"17",616,"Gini",-0.00149984764678041
"18",617,"Gini",-0.00135543205219474
"19",618,"Gini",-0.00198784279304637
"20",619,"Gini",-0.00214972451703316
"21",620,"Gini",-0.00370108232725436
"22",621,"Gini",-0.00321199130567346
"23",622,"Gini",-0.00285729075280555
"24",623,"Gini",-0.00221233584885255
"25",624,"Gini",-0.00148000684172384
"26",625,"Gini",-0.00244908315184494
"27",626,"Gini",-0.00398509350919701
"28",627,"Gini",-0.00456122471565806
"29",628,"Gini",-0.00331745316696824
"30",629,"Gini",-0.00347464740667242
"31",630,"Gini",-0.00333007721362594
"32",631,"Gini",-0.00432217219112224
"33",632,"Gini",-0.00584063642318416
"34",633,"Gini",-0.00637332112490724
"35",634,"Gini",-0.0052009731365294
"36",635,"Gini",-0.00618387240405266
"37",636,"Gini",-0.00768985934501204
"38",637,"Gini",-0.00783821534280776
"39",638,"Gini",-0.0083635943980917
"40",639,"Gini",-0.00722066984280295
"41",640,"Gini",-0.00707250539896637
"42",641,"Gini",-0.00804328465421572
"43",642,"Gini",-0.00727742730676767
"44",643,"Gini",-0.00691976239536013
"45",644,"Gini",-0.00602825825160586
"46",645,"Gini",-0.00497206314586912
"47",646,"Gini",-0.00414297869803587
"48",647,"Gini",-0.00368103424266902
"49",648,"Gini",-0.00383305831010455
"50",649,"Gini",-0.00435570390995649
"51",650,"Gini",-0.00531722130088536
"52",651,"Gini",-0.00517448428780781
"53",652,"Gini",-0.00445738807812029
"54",653,"Gini",-0.00497587607894084
"55",654,"Gini",-0.00593056435407063
"56",655,"Gini",-0.00607752933969935
"57",656,"Gini",-0.00509738349416961
"58",657,"Gini",-0.00449228588995504
"59",658,"Gini",-0.00500678097616175
"60",659,"Gini",-0.00595417889275912
"61",660,"Gini",-0.00581242320623582
"62",661,"Gini",-0.0051114760864322
"63",662,"Gini",-0.00525812435509448
"64",663,"Gini",-0.00492227235368686
"65",664,"Gini",-0.005662026702349
"66",665,"Gini",-0.00636968215206329
"67",666,"Gini",-0.00590963091448587
"68",667,"Gini",-0.00463419877917232
"69",668,"Gini",-0.00478024433480356
"70",669,"Gini",-0.00555498996330689
"71",670,"Gini",-0.00541594583767119
"72",671,"Gini",-0.00607745261112363
"73",672,"Gini",-0.00488325119348149
"74",673,"Gini",-0.00569330725373135
"75",674,"Gini",-0.00631144935110878
"76",675,"Gini",-0.00559959843065178
"77",676,"Gini",-0.00574248753051892
"78",677,"Gini",-0.00560460413060299
"79",678,"Gini",-0.00527567145109148
"80",679,"Gini",-0.00611770564583175
"81",680,"Gini",-0.0052661820290501
"82",681,"Gini",-0.00583899992760945
"83",682,"Gini",-0.00504552599566016
"84",683,"Gini",-0.00397491166831493
"85",684,"Gini",-0.0041185048236842
"86",685,"Gini",-0.0049942191226538
"87",686,"Gini",-0.00431274878123283
"88",687,"Gini",-0.00484270003629622
"89",688,"Gini",-0.00439957919020501
"90",689,"Gini",-0.0042660463115361
"91",690,"Gini",-0.00370051020015755
"92",691,"Gini",-0.00460592481349148
"93",692,"Gini",-0.00474694606367548
"94",693,"Gini",-0.00523508907457043
"95",694,"Gini",-0.00456433782032989
"96",695,"Gini",-0.00358623433433142
"97",696,"Gini",-0.00448530872180192
"98",697,"Gini",-0.00435318550381852
"99",698,"Gini",-0.00343066346215987
"100",699,"Gini",-0.00311472295280318
"101",700,"Gini",-0.00360031628089047
"102",701,"Gini",-0.00374096152148967
"103",702,"Gini",-0.00463213110338762
"104",703,"Gini",-0.0035750276868402
"105",704,"Gini",-0.00405720811997518
"106",705,"Gini",-0.00295127506245912
"107",706,"Gini",-0.00192230228180473
"108",707,"Gini",-0.00280974175242993
"109",708,"Gini",-0.0026820379163211
"110",709,"Gini",-0.00282239136064349
"111",710,"Gini",-0.00239584652481933
"112",711,"Gini",-0.00173883589467555
"113",712,"Gini",-0.0022181774911913
"114",713,"Gini",-0.00309773405573915
"115",714,"Gini",-0.00323652242532618
"116",715,"Gini",-0.00292792343930731
"117",716,"Gini",-0.00280148140348063
"118",717,"Gini",-0.0032759982391995
"119",718,"Gini",-0.00246465312356831
"120",719,"Gini",-0.00333652705248372
"121",720,"Gini",-0.00257907213438263
"122",721,"Gini",-0.00193386312205207
"123",722,"Gini",-0.00140562231633662
"124",723,"Gini",-0.00208548903348676
"125",724,"Gini",-0.00222375856512674
"126",725,"Gini",-0.00288196414201886
"127",726,"Gini",-0.00275732703684722
"128",727,"Gini",-0.0034686858287552
"129",728,"Gini",-0.0040854278700258
"130",729,"Gini",-0.0034446811380327
"131",730,"Gini",-0.00302897001034425
"132",731,"Gini",-0.00316462481189078
"133",732,"Gini",-0.00286329096299737
"134",733,"Gini",-0.00332736567193442
"135",734,"Gini",-0.00320348019525246
"136",735,"Gini",-0.00333815931055276
"137",736,"Gini",-0.00246464659467699
"138",737,"Gini",-0.00292674348208438
"139",738,"Gini",-0.00182203993194424
"140",739,"Gini",-0.00120348574927925
"141",740,"Gini",-0.00108347485743893
"142",741,"Gini",-0.000170787867147359
"143",742,"Gini",-0.000308283611182125
"144",743,"Gini",-0.000769551133392998
"145",744,"Gini",0.000204509004075148
"146",745,"Gini",0.000606951867256955
"147",746,"Gini",0.000897574924510203
"148",747,"Gini",0.0014580564671775
"149",748,"Gini",0.00099751086680161
"150",749,"Gini",0.00176474923003772
"151",750,"Gini",0.00162613939114314
"152",751,"Gini",0.00223732119248005
"153",752,"Gini",0.00235084147575143
"154",753,"Gini",0.00303060128888805
"155",754,"Gini",0.00408284969572553
"156",755,"Gini",0.00362309750723594
"157",756,"Gini",0.00348312961378611
"158",757,"Gini",0.00359425437547539
"159",758,"Gini",0.00420627964466064
"160",759,"Gini",0.00374878777080229
"161",760,"Gini",0.0048345262969311
"162",761,"Gini",0.00579837635053143
"163",762,"Gini",0.00565665586983405
"164",763,"Gini",0.00519966149436385
"165",764,"Gini",0.00548608006605439
"166",765,"Gini",0.00586245479065656
"167",766,"Gini",0.00680194416573848
"168",767,"Gini",0.00690729309669919
"169",768,"Gini",0.00747882043720799
"170",769,"Gini",0.00702302216275924
"171",770,"Gini",0.00688118365353368
"172",771,"Gini",0.00770178808404004
"173",772,"Gini",0.0078052891023413
"174",773,"Gini",0.00879914747541172
"175",774,"Gini",0.0093010872818195
"176",775,"Gini",0.00915722442088701
"177",776,"Gini",0.00977196012304021
"178",777,"Gini",0.0100391928031627
"179",778,"Gini",0.0111058994605724
"180",779,"Gini",0.0118144823165789
"181",780,"Gini",0.0128597480454352
"182",781,"Gini",0.0135206309006076
"183",782,"Gini",0.0136153674010065
"184",783,"Gini",0.0134674644669812
"185",784,"Gini",0.0138329708159704
"186",785,"Gini",0.0146754989868398
"187",786,"Gini",0.0152605979125804
"188",787,"Gini",0.015111356199933
"189",788,"Gini",0.0152033526694923
"190",789,"Gini",0.0154596370800229
"191",790,"Gini",0.0153107101597432
"192",791,"Gini",0.0158460507118797
"193",792,"Gini",0.0167372530755069
"194",793,"Gini",0.0168266191803456
"195",794,"Gini",0.0171832915013712
"196",795,"Gini",0.0170331331096198
"197",796,"Gini",0.0174962788070253
"198",797,"Gini",0.0175842440459281
"199",798,"Gini",0.0183636713084945
"200",799,"Gini",0.0189454569830149
"201",800,"Gini",0.0187940343743599
"202",600,"LoosemoreHanby",0.00759500604807224
"203",601,"LoosemoreHanby",0.00857115690775057
"204",602,"LoosemoreHanby",0.009544064741317
"205",603,"LoosemoreHanby",0.00889254348505075
"206",604,"LoosemoreHanby",0.00826928011097192
"207",605,"LoosemoreHanby",0.00764807711168342
"208",606,"LoosemoreHanby",0.00702892428731007
"209",607,"LoosemoreHanby",0.00641181150519167
"210",608,"LoosemoreHanby",0.00744146554143549
"211",609,"LoosemoreHanby",0.00682570199463745
"212",610,"LoosemoreHanby",0.00621195734471418
"213",611,"LoosemoreHanby",0.00560022167891504
"214",612,"LoosemoreHanby",0.0066244720773832
"215",613,"LoosemoreHanby",0.00764538071272423
"216",614,"LoosemoreHanby",0.00703429941765699
"217",615,"LoosemoreHanby",0.00642520537883387
"218",616,"LoosemoreHanby",0.00744146554143549
"219",617,"LoosemoreHanby",0.00683368596282934
"220",618,"LoosemoreHanby",0.00622787330842577
"221",619,"LoosemoreHanby",0.00562401804547427
"222",620,"LoosemoreHanby",0.00502211070272582
"223",621,"LoosemoreHanby",0.00488969203841041
"224",622,"LoosemoreHanby",0.00422951837390291
"225",623,"LoosemoreHanby",0.00517660048359928
"226",624,"LoosemoreHanby",0.00612064707371328
"227",625,"LoosemoreHanby",0.00546167271473892
"228",626,"LoosemoreHanby",0.00480480370515424
"229",627,"LoosemoreHanby",0.00415002997151724
"230",628,"LoosemoreHanby",0.00508969819244594
"231",629,"LoosemoreHanby",0.00446054344286634
"232",630,"LoosemoreHanby",0.00387003697000692
"233",631,"LoosemoreHanby",0.00328140214999334
"234",632,"LoosemoreHanby",0.00269463009839752
"235",633,"LoosemoreHanby",0.00210971198693312
"236",634,"LoosemoreHanby",0.00310392610925882
"237",635,"LoosemoreHanby",0.0025202056989158
"238",636,"LoosemoreHanby",0.00193832088734745
"239",637,"LoosemoreHanby",0.00135826302966156
"240",638,"LoosemoreHanby",0.000780023535165902
"241",639,"LoosemoreHanby",0.00176853909386115
"242",640,"LoosemoreHanby",0.0011914655414355
"243",641,"LoosemoreHanby",0.00061619253051505
"244",642,"LoosemoreHanby",0.0016003440461084
"245",643,"LoosemoreHanby",0.00102622448389271
"246",644,"LoosemoreHanby",0.00200668293273984
"247",645,"LoosemoreHanby",0.00298410120035023
"248",646,"LoosemoreHanby",0.00395849340521258
"249",647,"LoosemoreHanby",0.00384436205013305
"250",648,"LoosemoreHanby",0.00321228999868954
"251",649,"LoosemoreHanby",0.00258216578099468
"252",650,"LoosemoreHanby",0.00195398040704661
"253",651,"LoosemoreHanby",0.00132772494208147
"254",652,"LoosemoreHanby",0.0022371328374383
"255",653,"LoosemoreHanby",0.00161236184184459
"256",654,"LoosemoreHanby",0.000989501460916295
"257",655,"LoosemoreHanby",0.000380396839145411
"258",656,"LoosemoreHanby",0.00134390456582574
"259",657,"LoosemoreHanby",0.00230447924006563
"260",658,"LoosemoreHanby",0.00174237739553884
"261",659,"LoosemoreHanby",0.00118198147466766
"262",660,"LoosemoreHanby",0.000623283723253654
"263",661,"LoosemoreHanby",0.0015791357381072
"264",662,"LoosemoreHanby",0.00102152596439621
"265",663,"LoosemoreHanby",0.000465598271450582
"266",664,"LoosemoreHanby",-0.0000886549404922193
"267",665,"LoosemoreHanby",-0.000641241225481801
"268",666,"LoosemoreHanby",-0.00033292187985566
"269",667,"LoosemoreHanby",0.000558524288951812
"270",668,"LoosemoreHanby",-0.0000497045307700505
"271",669,"LoosemoreHanby",-0.000656115028160931
"272",670,"LoosemoreHanby",-0.00126071534496257
"273",671,"LoosemoreHanby",-0.0018635135743818
"274",672,"LoosemoreHanby",-0.000976422523356321
"275",673,"LoosemoreHanby",-0.00157785180234875
"276",674,"LoosemoreHanby",-0.00217749642472695
"277",675,"LoosemoreHanby",-0.00129388284081663
"278",676,"LoosemoreHanby",-0.00189217343910723
"279",677,"LoosemoreHanby",-0.00248869656147969
"280",678,"LoosemoreHanby",-0.00308346002862392
"281",679,"LoosemoreHanby",-0.00367647161515798
"282",680,"LoosemoreHanby",-0.00279715081467284
"283",681,"LoosemoreHanby",-0.00338819671994484
"284",682,"LoosemoreHanby",-0.00245589516237683
"285",683,"LoosemoreHanby",-0.00152632362401108
"286",684,"LoosemoreHanby",-0.00206145843517269
"287",685,"LoosemoreHanby",-0.00259503080892948
"288",686,"LoosemoreHanby",-0.00166932163057618
"289",687,"LoosemoreHanby",-0.00220191146002012
"290",688,"LoosemoreHanby",-0.00166855984340061
"291",689,"LoosemoreHanby",-0.00225501814157458
"292",690,"LoosemoreHanby",-0.00139050119830457
"293",691,"LoosemoreHanby",-0.00197566447773577
"294",692,"LoosemoreHanby",-0.00255913653381599
"295",693,"LoosemoreHanby",-0.00314092468785847
"296",694,"LoosemoreHanby",-0.00228011402877693
"297",695,"LoosemoreHanby",-0.00142178052267115
"298",696,"LoosemoreHanby",-0.00200269510135304
"299",697,"LoosemoreHanby",-0.00258194278023956
"300",698,"LoosemoreHanby",-0.0017268659672095
"301",699,"LoosemoreHanby",-0.0023048508904113
"302",700,"LoosemoreHanby",-0.00288118442811822
"303",701,"LoosemoreHanby",-0.0034558736476006
"304",702,"LoosemoreHanby",-0.00402892557585938
"305",703,"LoosemoreHanby",-0.00317787209322695
"306",704,"LoosemoreHanby",-0.00374969092162472
"307",705,"LoosemoreHanby",-0.00290144785263696
"308",706,"LoosemoreHanby",-0.00205560773851889
"309",707,"LoosemoreHanby",-0.00262658753985796
"310",708,"LoosemoreHanby",-0.00315175479754756
"311",709,"LoosemoreHanby",-0.00366572768846578
"312",710,"LoosemoreHanby",-0.00292142587681037
"313",711,"LoosemoreHanby",-0.00208150590692072
"314",712,"LoosemoreHanby",-0.00264843964481165
"315",713,"LoosemoreHanby",-0.00321378310573793
"316",714,"LoosemoreHanby",-0.00377754297153558
"317",715,"LoosemoreHanby",-0.00401737780109826
"318",716,"LoosemoreHanby",-0.00464049769796117
"319",717,"LoosemoreHanby",-0.00526187946400997
"320",718,"LoosemoreHanby",-0.00448877270146253
"321",719,"LoosemoreHanby",-0.00510863702865791
"322",720,"LoosemoreHanby",-0.00433789062161111
"323",721,"LoosemoreHanby",-0.00351918720204333
"324",722,"LoosemoreHanby",-0.00269123587251871
"325",723,"LoosemoreHanby",-0.00324870072924449
"326",724,"LoosemoreHanby",-0.00380462562780252
